Date,Close/Last,Volume,Open,High,Low,Daily_Return,Volatility
2024-02-05,187.68,69668820,188.15,189.25,185.84,0.00984665052461664,0.015512531734942757
2024-02-06,189.3,43490760,186.86,189.31,186.77,0.008631713554987153,0.013632744589152385
2024-02-07,189.41,53438960,190.64,191.05,188.61,0.0005810882197569978,0.007636125817631109
2024-02-08,188.32,40962050,189.39,189.54,187.35,-0.005754712000422435,0.007443988298436949
2024-02-09,188.85,45155220,188.65,189.99,188.0,0.0028143585386575243,0.006341784521984363
2024-02-12,187.15,41781930,188.42,188.67,186.79,-0.009001853322742837,0.006989722804037678
2024-02-13,185.04,56529530,185.77,186.21,183.51,-0.011274378840502308,0.006063143174908861
2024-02-14,184.15,54630520,185.32,185.53,182.44,-0.00480977086035439,0.005367049232013974
2024-02-15,183.86,65434500,183.55,184.49,181.35,-0.0015748031496062298,0.005655724604309038
2024-02-16,182.31,49752470,183.42,184.85,181.67,-0.008430327423039286,0.0038259564561762484
2024-02-20,181.56,53665550,181.79,182.43,180.0,-0.004113871976304084,0.003816863924099811
2024-02-21,182.32,41529670,181.94,182.89,180.66,0.004185944040537404,0.004681350973207557
2024-02-22,184.37,52292210,183.48,184.96,182.46,0.011243966652040527,0.007649829828296798
2024-02-23,182.52,45119680,185.01,185.04,182.23,-0.010034170418180777,0.008977858306532286
2024-02-26,181.16,40867420,182.24,182.76,180.65,-0.007451238220469114,0.008795825120072539
2024-02-27,182.63,54318850,181.1,183.92,179.56,0.008114374034003058,0.00946910120676617
2024-02-28,181.42,48953940,182.51,183.12,180.13,-0.006625417510814247,0.009847008589056268
2024-02-29,180.75,136682600,181.27,182.57,179.53,-0.0036930878624186203,0.007107180369299701
2024-03-01,179.66,73563080,179.55,180.53,177.38,-0.006030428769018048,0.006443141497561788
2024-03-04,175.1,81510100,176.15,176.9,173.79,-0.025381275743070253,0.012020279391545782
2024-03-05,170.12,95132360,170.76,172.04,169.62,-0.02844089091947455,0.011855356208252666
2024-03-06,169.12,68587710,171.06,171.24,168.68,-0.005878203620973466,0.01197618957213136
2024-03-07,169.0,71765060,169.15,170.73,168.49,-0.0007095553453169146,0.012665426501628944
2024-03-08,170.73,76267040,169.0,173.7,168.94,0.010236686390532546,0.016503553726108882
2024-03-11,172.75,60139470,172.94,174.38,172.05,0.01183154688689747,0.01624131916712591
2024-03-12,173.23,59825370,173.15,174.03,171.01,0.002778581765557009,0.007430913259118498
2024-03-13,171.13,52488690,172.77,173.19,170.76,-0.01212261155688965,0.009631803989658688
2024-03-14,173.0,72913510,172.91,174.31,172.05,0.010927365160988689,0.01008689058940029
2024-03-15,172.62,121752700,171.17,172.62,170.29,-0.0021965317919074856,0.009921258906622118
2024-03-18,173.72,75604180,175.57,177.71,173.52,0.006372378635152387,0.008844261732601739
2024-03-19,176.08,55215240,174.34,176.61,173.03,0.01358507943817644,0.010505558231611308
2024-03-20,178.67,53423100,175.72,178.67,175.09,0.014709223080417777,0.0068754280660090865
2024-03-21,171.37,106181300,177.05,177.49,170.84,-0.04085744668942737,0.022921655628688822
2024-03-22,172.28,71160140,171.76,173.05,170.06,0.005310147633774909,0.0231241019108574
2024-03-25,170.85,54288330,170.57,171.94,169.45,-0.008300441142326531,0.02301607961442872
2024-03-26,169.71,57388450,170.0,171.42,169.58,-0.00667251975417027,0.021040577654633873
2024-03-27,173.31,60273270,170.41,173.6,170.11,0.02121265688527485,0.022853545422571887
2024-03-28,171.48,65672690,171.75,172.23,170.51,-0.010559113726847924,0.0132560636748167
2024-04-01,170.03,46240500,171.19,171.25,169.48,-0.008455796594354914,0.013358057621274589
2024-04-02,168.84,49329480,169.08,169.34,168.23,-0.0069987649238369976,0.013230164453178256
2024-04-03,169.65,47691720,168.79,170.68,168.58,0.00479744136460547,0.01327563880215381
2024-04-04,168.82,53704390,170.29,171.92,168.82,-0.004892425582080806,0.005970698056715597
2024-04-05,169.58,42104830,169.59,170.39,168.95,0.004501836275322857,0.006389261131246989
2024-04-08,169.67,37425510,169.03,169.2,168.24,0.0005307229626134724,0.005376627152115816
2024-04-09,169.67,42451210,168.7,170.08,168.35,0.0,0.003956751793433751
2024-04-10,167.78,49709340,168.8,169.09,167.11,-0.011139270348323183,0.006007727671220367
2024-04-11,175.04,91070280,168.34,175.46,168.16,0.04327095005364168,0.02086127110163947
2024-04-12,176.55,101670900,174.26,178.36,174.21,0.008626599634369292,0.02079784849647109
2024-04-15,172.69,73531770,175.36,176.63,172.5,-0.02186349476069105,0.024887177973722373
2024-04-16,169.38,73711240,171.75,173.76,168.27,-0.01916729399502004,0.027001200869847596
2024-04-17,168.0,50901210,169.61,170.65,168.0,-0.008147360963513983,0.026725883359912127
2024-04-18,167.04,43122900,168.03,168.64,166.55,-0.005714285714285783,0.012152600780796574
2024-04-19,165.0,68149380,166.21,166.4,164.08,-0.012212643678160884,0.006945510262564838
2024-04-22,165.84,48116440,165.52,167.26,164.77,0.005090909090909035,0.008931242735469512
2024-04-23,166.9,49537760,165.35,167.05,164.92,0.006391702846116676,0.008251803171620373
2024-04-24,169.02,48251840,166.54,169.3,166.21,0.012702216896345098,0.010026053566563942
2024-04-25,169.89,50558330,169.53,170.61,168.15,0.0051473198438052314,0.00928904747039035
2024-04-26,169.3,44838350,169.88,171.34,169.18,-0.003472835364058957,0.0057648114618317516
2024-04-29,173.5,68169420,173.37,176.03,173.1,0.024808033077377445,0.010497045348320659
2024-04-30,170.33,65934780,173.33,174.99,170.0,-0.0182708933717578,0.016291777842935725
2024-05-01,169.3,50383150,169.58,172.71,169.11,-0.006047085070157943,0.015995700428085177
2024-05-02,173.03,94214920,172.51,173.42,170.89,0.022031896042528087,0.018779793379202003
2024-05-03,183.38,163224100,186.65,187.0,182.66,0.05981621684101013,0.030386266478206362
